Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,GSH,GSSG,TotalGSH,GSHGSSGRatio,2GSHGSSGRatio,EhGSSG2GSH,Steatosis,Ballooning,Fibrosis
1,30,M,NA,38.9,59,30,1.967,28.000,104.000,NA,NA,0.604,NA,1.788,46.189,0.441,47.071,104.688,209.376,-201.549,0,4,0
2,30,M,NA,46.6,89,43,2.070,23.000,153.000,3.066,NA,0.609,NA,1.922,60.649,0.526,61.701,115.305,230.610,-206.517,0,4,0
3,30,M,NA,39.9,197,NA,NA,26.000,120.000,NA,NA,0.642,NA,2.092,109.341,1.121,111.584,97.500,195.000,-212.193,0,4,0
4,30,M,NA,40.8,58,28,2.071,20.000,94.000,NA,NA,0.647,NA,1.485,83.233,0.710,84.653,117.201,234.403,-210.998,0,2,0
5,30,M,NA,45.2,39,23,1.696,21.000,98.000,NA,NA,0.766,NA,1.768,30.433,0.509,31.451,59.798,119.595,-188.393,0,3,0
6,30,M,NA,35.7,60,29,2.069,29.000,87.000,3.516,NA,0.374,NA,1.560,54.483,0.575,55.632,94.831,189.661,-202.441,0,0,1
7,30,M,NA,38,70,27,2.593,23.000,113.000,NA,NA,0.606,NA,1.844,43.243,0.451,44.145,95.786,191.572,-199.466,0,4,1
8,30,M,NA,36,53,39,1.359,21.000,72.000,NA,NA,0.649,NA,1.470,38.471,0.495,39.461,77.696,155.393,-195.073,0,2,0
9,30,M,NA,41.3,46,43,1.070,18.000,124.000,NA,NA,0.547,NA,1.999,44.490,0.646,45.782,68.878,137.755,-195.409,0,2,0
10,30,M,NA,40,55,42,1.310,22.000,79.000,NA,0.451,0.159,2.835,2.437,63.417,0.635,64.686,99.940,199.881,-205.192,0,3,0
11,30,M,NA,38.7,38,31,1.226,35.000,104.000,NA,NA,0.786,NA,1.949,97.954,1.313,100.580,74.610,149.220,-207.110,0,3,0
12,30,M,NA,47,55,30,1.833,24.000,147.000,NA,NA,0.608,NA,1.872,73.065,0.853,74.772,85.642,171.284,-205.020,0,4,0
13,30,M,NA,32.8,34,20,1.700,23.000,111.000,NA,NA,0.396,NA,1.571,37.024,0.485,37.995,76.275,152.550,-194.309,0,3,0
14,30,M,NA,48.4,97,28,3.464,20.000,107.000,NA,NA,0.501,NA,2.441,113.359,1.937,117.232,58.530,117.059,-205.809,0,4,1
15,30,M,NA,31.6,34,15,2.267,26.000,93.000,4.564,NA,0.720,NA,1.360,43.777,0.623,45.024,70.228,140.456,-195.453,0,1,1
16,30,M,NA,30.7,53,26,2.038,21.000,65.000,NA,0.552,0.436,1.267,1.255,56.383,1.139,58.661,49.507,99.013,-194.152,0,0,0
17,30,M,NA,48.1,52,33,1.576,19.000,69.000,NA,NA,0.777,NA,1.703,31.545,0.501,32.546,63.018,126.037,-189.582,0,2,0
18,30,M,NA,46.6,37,18,2.056,32.000,160.000,NA,NA,0.238,NA,2.160,64.133,1.388,66.909,46.196,92.391,-194.954,3,2,0
19,30,M,NA,47.5,53,32,1.656,25.000,95.000,3.906,0.924,0.516,1.792,1.655,94.550,0.997,96.544,94.805,189.611,-209.859,0,3,0
20,30,M,NA,35.2,56,28,2.000,20.000,125.000,2.838,0.575,0.424,1.356,1.508,40.377,0.517,41.411,78.071,156.141,-195.789,0,3,0
21,30,M,NA,38.5,51,26,1.962,23.000,120.000,3.009,0.829,0.433,1.914,1.919,41.869,0.429,42.728,97.550,195.101,-199.277,0,4,0
22,30,M,NA,51.9,132,52,2.538,34.000,104.000,3.531,0.334,0.670,0.499,2.091,100.066,2.059,104.184,48.607,97.215,-201.629,0,3,0
23,30,M,NA,51.5,58,41,1.415,24.000,152.000,2.732,0.460,0.456,1.007,3.162,71.729,1.098,73.924,65.348,130.695,-201.131,0,5,0
24,30,M,NA,38.3,100,40,2.500,26.000,132.000,2.523,0.463,0.223,2.082,1.773,80.849,0.918,82.685,88.041,176.081,-206.755,0,3,0
25,30,M,NA,37.1,56,39,1.436,22.000,92.000,1.954,0.801,0.276,2.906,1.724,61.530,0.734,62.999,83.788,167.576,-202.412,0,2,0
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,NA,51.1,67,30,2.233,26.000,185.000,2.307,0.724,0.334,2.167,2.565,68.346,1.470,71.286,46.492,92.984,-195.897,0,4,0
28,30,M,NA,33.6,61,28,2.179,33.000,107.000,2.363,0.525,0.488,1.075,1.496,99.552,1.097,101.746,90.745,181.490,-209.964,0,4,0
29,30,M,NA,32.1,51,39,1.308,19.000,115.000,2.866,0.636,0.263,2.420,1.487,66.534,0.603,67.739,110.391,220.783,-207.177,0,3,0
30,30,M,NA,39,78,23,3.391,28.000,127.000,3.168,0.530,0.359,1.477,1.584,19.669,0.213,20.094,92.445,184.891,-188.381,0,1,0
31,30,M,NA,47.1,38,21,1.810,23.000,132.000,2.250,0.641,0.403,1.590,2.023,73.372,1.662,76.696,44.151,88.302,-196.157,0,4,0
32,30,M,NA,53.7,57,36,1.583,40.000,243.000,3.106,0.417,0.609,0.685,3.068,42.164,0.809,43.781,52.134,104.269,-190.936,2,3,0
33,30,M,NA,45.7,49,43,1.140,27.000,63.000,3.333,0.399,0.469,0.851,2.204,94.989,1.854,98.696,51.248,102.495,-201.640,1,4,0
34,30,M,NA,31.1,74,34,2.176,26.000,103.000,3.829,0.579,0.405,1.429,1.516,18.045,0.239,18.523,75.506,151.012,-184.496,1,0,0
35,30,M,NA,40.2,76,28,2.714,23.000,86.000,2.635,0.666,0.337,1.972,1.508,59.811,1.210,62.232,49.413,98.827,-194.921,1,2,0
36,30,M,NA,52,50,36,1.389,24.000,122.000,2.433,0.421,0.527,0.798,2.910,33.472,0.575,34.621,58.251,116.502,-189.321,3,3,0
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,NA,26.8,57,35,1.629,37.000,108.000,2.255,0.814,0.333,2.445,1.091,9.843,0.170,10.183,57.836,115.673,-172.747,0,0,0
39,30,M,NA,46.3,35,21,1.667,24.000,216.000,1.409,0.502,0.295,1.701,2.422,52.436,0.632,53.700,82.948,165.895,-200.123,0,4,0
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,NA,42.3,33,23,1.435,25.000,138.000,1.696,0.469,0.310,1.514,1.651,33.992,0.740,35.472,45.929,91.857,-186.329,0,1,0
42,30,M,NA,38.7,51,23,2.217,28.000,100.000,1.610,0.507,0.288,1.760,1.627,74.136,1.693,77.522,43.784,87.569,-196.184,0,3,0
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,NA,44.8,42,24,1.750,21.000,162.000,1.927,0.551,0.230,2.392,2.363,41.694,0.674,43.043,61.841,123.683,-193.084,0,5,0
45,30,M,NA,48.6,34,19,1.789,26.000,142.000,0.653,0.401,0.271,1.484,3.111,57.554,0.595,58.744,96.683,193.366,-203.440,3,3,0
46,30,M,NA,38.2,43,23,1.870,32.000,96.000,1.960,0.548,0.236,2.320,1.369,39.251,1.018,41.288,38.543,77.085,-185.906,0,0,0
47,30,M,NA,35.1,96,31,3.097,35.000,83.000,1.407,0.435,0.401,1.087,1.665,58.810,0.982,60.774,59.864,119.729,-197.277,0,2,0
48,30,M,NA,48.3,39,22,1.773,32.000,111.000,1.554,0.429,0.354,1.213,2.591,67.772,1.141,70.053,59.407,118.815,-199.083,3,1,0
49,30,F,NA,22.9,50,18,2.778,29.000,78.000,1.581,0.794,0.151,5.245,1.000,65.096,0.754,66.603,86.383,172.765,-203.581,0,0,0
50,30,F,NA,31.7,41,18,2.278,19.000,66.000,1.968,0.736,0.182,4.050,1.427,66.203,1.440,69.083,45.984,91.967,-195.320,0,0,0
51,30,F,NA,41.5,49,19,2.579,17.000,111.000,2.011,0.782,0.121,6.444,1.096,38.048,0.325,38.697,117.133,234.267,-200.451,0,2,0
52,30,F,NA,28.6,191,37,5.162,23.000,86.000,1.628,0.647,0.267,2.423,1.160,43.485,0.551,44.586,78.973,157.946,-196.942,0,0,0
53,30,F,NA,39.8,42,31,1.355,18.000,66.000,0.953,0.717,0.107,6.710,1.521,47.974,0.664,49.301,72.288,144.576,-197.074,0,1,0
54,30,F,NA,32.1,162,30,5.400,22.000,88.000,1.172,0.628,0.113,5.572,1.428,78.195,1.321,80.838,59.179,118.357,-200.958,0,1,0
55,30,F,NA,44.4,60,34,1.765,24.000,94.000,1.551,0.621,0.104,5.993,1.869,58.039,1.022,60.082,56.816,113.631,-196.396,0,4,0
56,30,F,NA,40.8,181,27,6.704,24.000,71.000,1.017,0.731,0.120,6.075,1.409,41.333,0.480,42.292,86.180,172.360,-197.435,0,1,0
