id,Kidney_GSH,Kidney_Unadj_GSSG,Kidney_Unadj_Total_GSH,Kidney_Unadj_GSH_GSSG_Ratio,Kidney_Unadj_2GSH_GSSG,Kidney_Unadj_Redox_Potential_GSSG_2GSH,Liver_GSH,Liver_Unadj_GSSG,Liver_Adj_GSSG,Liver_Unadj_Total_GSH,Liver_Adj_Total_GSH,Liver_Unadj_GSH_GSSG_Ratio,Liver_Adj_GSH_GSSG_Ratio,Liver_Adj_2GSH_GSSG,Liver_Adj_Redox_Potential_GSSG_2GSH,Liver_NADH,Liver_NADP,Liver_NADPH,Liver_NADP_NADPH_Ratio,AST,ALT,AST_ALT_Ratio,BUN,Glucose,Liver_Weight,Initial_Weight,Final_Weight,Liver_Weight_Final_Weight_Ratio,Liver_Steatosis,Liver_Ballooning,Liver_Fibrosis,sex,generation
DO-1,17.232,0.293,17.819,58.746,117.491,-180.497,46.189,0.494,0.441,47.177,47.071,93.529,104.688,209.376,-201.549,NA,NA,0.604,NA,59,30,1.97,28,104,1.788,NA,38.9,4.596,0,4,0,M,30
DO-2,14.566,0.178,14.922,81.846,163.692,-182.699,60.649,0.715,0.526,62.079,61.701,84.846,115.305,230.61,-206.517,3.066,NA,0.609,NA,89,43,2.07,23,153,1.922,NA,46.6,4.124,0,4,0,M,30
DO-3,17.596,0.192,17.980,91.689,183.378,-186.772,109.341,1.309,1.121,111.959,111.584,83.53,97.5,195,-212.193,NA,NA,0.642,NA,197,NA,NA,26,120,2.092,NA,39.9,5.243,0,4,0,M,30
DO-4,17.856,0.203,18.263,87.918,175.837,-186.404,83.233,0.882,0.71,84.997,84.653,94.37,117.201,234.403,-210.998,NA,NA,0.647,NA,58,28,2.07,20,94,1.485,NA,40.8,3.64,0,2,0,M,30
DO-5,18.927,0.127,19.181,149.191,298.382,-194.308,30.433,0.56,0.509,31.553,31.451,54.349,59.798,119.595,-188.393,NA,NA,0.766,NA,39,23,1.7,21,98,1.768,NA,45.2,3.912,0,3,0,M,30
DO-6,22.435,0.214,22.864,104.744,209.487,-191.835,54.483,1.013,0.575,56.509,55.632,53.772,94.831,189.661,-202.441,3.516,NA,0.374,NA,60,29,2.07,29,87,1.56,NA,35.7,4.37,0,0,1,M,30
DO-7,23.106,0.257,23.621,89.757,179.515,-190.153,43.243,0.565,0.451,44.372,44.145,76.576,95.786,191.572,-199.466,NA,NA,0.606,NA,70,27,2.59,23,113,1.844,NA,38,4.853,0,4,1,M,30
DO-8,20.874,0.344,21.562,60.650,121.301,-183.507,38.471,0.739,0.495,39.948,39.461,52.076,77.696,155.393,-195.073,NA,NA,0.649,NA,53,39,1.36,21,72,1.47,NA,36,4.083,0,2,0,M,30
DO-9,24.210,0.239,24.688,101.320,202.640,-192.412,44.49,0.695,0.646,45.88,45.782,64.049,68.878,137.755,-195.409,NA,NA,0.547,NA,46,43,1.07,18,124,1.999,NA,41.3,4.84,0,2,0,M,30
DO-10,18.267,0.118,18.504,154.263,308.526,-194.280,63.417,0.902,0.635,65.222,64.686,70.283,99.94,199.881,-205.192,NA,0.451,0.159,2.835,55,42,1.31,22,79,2.437,NA,40,6.093,0,3,0,M,30
DO-11,27.892,0.256,28.403,109.023,218.047,-195.305,97.954,1.49,1.313,100.935,100.58,65.736,74.61,149.22,-207.11,NA,NA,0.786,NA,38,31,1.23,35,104,1.949,NA,38.7,5.036,0,3,0,M,30
DO-12,NA,NA,NA,NA,NA,NA,73.065,1.14,0.853,75.345,74.772,64.115,85.642,171.284,-205.02,NA,NA,0.608,NA,55,30,1.83,24,147,1.872,NA,47,3.983,0,4,0,M,30
DO-13,25.180,0.330,25.840,76.326,152.653,-189.128,37.024,0.543,0.485,38.11,37.995,68.216,76.275,152.55,-194.309,NA,NA,0.396,NA,34,20,1.7,23,111,1.571,NA,32.8,4.79,0,3,0,M,30
DO-14,18.134,0.343,18.821,52.833,105.666,-179.756,113.359,2.373,1.937,118.104,117.232,47.771,58.53,117.059,-205.809,NA,NA,0.501,NA,97,28,3.46,20,107,2.441,NA,48.4,5.043,0,4,1,M,30
DO-15,19.597,0.138,19.874,141.623,283.245,-194.075,43.777,0.869,0.623,45.515,45.024,50.401,70.228,140.456,-195.453,4.564,NA,0.72,NA,34,15,2.27,26,93,1.36,NA,31.6,4.304,0,1,1,M,30
DO-16,19.130,0.187,19.505,102.260,204.519,-189.366,56.383,1.485,1.139,59.354,58.661,37.958,49.507,99.013,-194.152,NA,0.552,0.436,1.267,53,26,2.04,21,65,1.255,NA,30.7,4.088,0,0,0,M,30
DO-17,19.771,0.246,20.264,80.270,160.540,-186.550,31.545,0.562,0.501,32.668,32.546,56.18,63.018,126.037,-189.582,NA,NA,0.777,NA,52,33,1.58,19,69,1.703,NA,48.1,3.541,0,2,0,M,30
DO-18,15.562,0.416,16.393,37.418,74.836,-173.051,64.133,1.647,1.388,67.426,66.909,38.941,46.196,92.391,-194.954,NA,NA,0.238,NA,37,18,2.06,32,160,2.16,NA,46.6,4.635,3,2,0,M,30
DO-19,16.249,0.159,16.567,102.083,204.166,-187.145,94.55,1.192,0.997,96.934,96.544,79.302,94.805,189.611,-209.859,3.906,0.924,0.516,1.792,53,32,1.66,25,95,1.655,NA,47.5,3.484,0,3,0,M,30
DO-20,30.422,0.312,31.045,97.651,195.302,-194.991,40.377,0.78,0.517,41.936,41.411,51.784,78.071,156.141,-195.789,2.838,0.575,0.424,1.356,56,28,2,20,125,1.508,NA,35.2,4.284,0,3,0,M,30
DO-21,13.703,0.148,13.999,92.410,184.820,-183.510,41.869,0.475,0.429,42.819,42.728,88.18,97.55,195.101,-199.277,3.009,0.829,0.433,1.914,51,26,1.96,23,120,1.919,NA,38.5,4.984,0,4,0,M,30
DO-22,23.858,0.137,24.133,173.825,347.651,-199.482,100.066,2.212,2.059,104.49,104.184,45.24,48.607,97.215,-201.629,3.531,0.334,0.67,0.499,132,52,2.54,34,104,2.091,NA,51.9,4.029,0,3,0,M,30
DO-23,20.741,0.117,20.975,177.900,355.800,-197.909,71.729,1.2,1.098,74.13,73.924,59.751,65.348,130.695,-201.131,2.732,0.46,0.456,1.007,58,41,1.41,24,152,3.162,NA,51.5,6.14,0,5,0,M,30
DO-24,17.061,0.159,17.379,107.116,214.232,-188.449,80.849,1.276,0.918,83.402,82.685,63.34,88.041,176.081,-206.755,2.523,0.463,0.223,2.082,100,40,2.5,26,132,1.773,NA,38.3,4.629,0,3,0,M,30
DO-25,23.496,0.575,24.646,40.878,81.755,-179.789,61.53,0.798,0.734,63.125,62.999,77.131,83.788,167.576,-202.412,1.954,0.801,0.276,2.906,56,39,1.44,22,92,1.724,NA,37.1,4.647,0,2,0,M,30
DO-27,13.118,0.152,13.423,86.157,172.315,-181.980,68.346,1.629,1.47,71.603,71.286,41.967,46.492,92.984,-195.897,2.307,0.724,0.334,2.167,67,30,2.23,26,185,2.565,NA,51.1,5.02,0,4,0,M,30
DO-28,15.122,0.186,15.493,81.491,162.982,-183.144,99.552,1.293,1.097,102.138,101.746,76.964,90.745,181.49,-209.964,2.363,0.525,0.488,1.075,61,28,2.18,33,107,1.496,NA,33.6,4.452,0,4,0,M,30
DO-29,17.249,0.235,17.719,73.508,147.017,-183.528,66.534,1.138,0.603,68.811,67.739,58.442,110.391,220.783,-207.177,2.866,0.636,0.263,2.42,51,39,1.31,19,115,1.487,NA,32.1,4.632,0,3,0,M,30
DO-30,18.438,0.303,19.045,60.755,121.511,-181.860,19.669,0.3,0.213,20.268,20.094,65.637,92.445,184.891,-188.381,3.168,0.53,0.359,1.477,78,23,3.39,28,127,1.584,NA,39,4.062,0,1,0,M,30
DO-31,22.394,0.483,23.360,46.340,92.681,-180.831,73.372,2,1.662,77.371,76.696,36.693,44.151,88.302,-196.157,2.25,0.641,0.403,1.59,38,21,1.81,23,132,2.023,NA,47.1,4.295,0,4,0,M,30
DO-32,27.742,0.471,28.683,58.956,117.913,-186.955,42.164,0.899,0.809,43.961,43.781,46.915,52.134,104.269,-190.936,3.106,0.417,0.609,0.685,57,36,1.58,40,243,3.068,NA,53.7,5.713,2,3,0,M,30
DO-33,20.970,0.385,21.740,54.465,108.931,-182.121,94.989,2.036,1.854,99.061,98.696,46.659,51.248,102.495,-201.64,3.333,0.399,0.469,0.851,49,43,1.14,27,63,2.204,NA,45.7,4.823,1,4,0,M,30
DO-34,NA,NA,NA,NA,NA,NA,18.045,0.29,0.239,18.626,18.523,62.142,75.506,151.012,-184.496,3.829,0.579,0.405,1.429,74,34,2.18,26,103,1.516,NA,31.1,4.875,1,0,0,M,30
DO-35,25.193,0.636,26.465,39.605,79.210,-180.302,59.811,1.454,1.21,62.72,62.232,41.13,49.413,98.827,-194.921,2.635,0.666,0.337,1.972,76,28,2.71,23,86,1.508,NA,40.2,3.751,1,2,0,M,30
DO-36,23.283,0.508,24.299,45.834,91.669,-181.207,33.472,0.783,0.575,35.038,34.621,42.736,58.251,116.502,-189.321,2.433,0.421,0.527,0.798,50,36,1.39,24,122,2.91,NA,52,5.596,3,3,0,M,30
DO-38,47.712,0.681,49.074,70.068,140.136,-196.581,9.843,0.276,0.17,10.394,10.183,35.68,57.836,115.673,-172.747,2.255,0.814,0.333,2.445,57,35,1.63,37,108,1.091,NA,26.8,4.071,0,0,0,M,30
DO-39,34.708,1.478,37.664,23.484,46.968,-177.579,52.436,0.66,0.632,53.755,53.7,79.505,82.948,165.895,-200.123,1.409,0.502,0.295,1.701,35,21,1.67,24,216,2.422,NA,46.3,5.231,0,4,0,M,30
DO-41,31.808,0.379,32.566,83.945,167.890,-193.555,33.992,0.898,0.74,35.787,35.472,37.868,45.929,91.857,-186.329,1.696,0.469,0.31,1.514,33,23,1.43,25,138,1.651,NA,42.3,3.903,0,1,0,M,30
DO-42,29.673,0.370,30.414,80.091,160.181,-191.986,74.136,1.975,1.693,78.085,77.522,37.546,43.784,87.569,-196.184,1.61,0.507,0.288,1.76,51,23,2.22,28,100,1.627,NA,38.7,4.204,0,3,0,M,30
DO-44,37.463,0.927,39.317,40.433,80.866,-185.922,41.694,0.931,0.674,43.555,43.043,44.807,61.841,123.683,-193.084,1.927,0.551,0.23,2.392,42,24,1.75,21,162,2.363,NA,44.8,5.275,0,5,0,M,30
DO-45,40.729,0.489,41.707,83.327,166.654,-196.783,57.554,0.634,0.595,58.822,58.744,90.76,96.683,193.366,-203.44,0.653,0.401,0.271,1.484,34,19,1.79,26,142,3.111,NA,48.6,6.401,3,3,0,M,30
DO-46,28.945,0.747,30.439,38.763,77.527,-181.882,39.251,1.127,1.018,41.505,41.288,34.828,38.543,77.085,-185.906,1.96,0.548,0.236,2.32,43,23,1.87,32,96,1.369,NA,38.2,3.584,0,0,0,M,30
DO-47,22.389,0.300,22.989,74.727,149.454,-187.261,58.81,1.07,0.982,60.949,60.774,54.979,59.864,119.729,-197.277,1.407,0.435,0.401,1.087,96,31,3.1,35,83,1.665,NA,35.1,4.744,0,2,0,M,30
DO-48,30.580,0.832,32.243,36.765,73.529,-181.909,67.772,1.225,1.141,70.222,70.053,55.311,59.407,118.815,-199.083,1.554,0.429,0.354,1.213,39,22,1.77,32,111,2.591,NA,48.3,5.364,3,1,0,M,30
DO-49,19.867,0.295,20.457,67.405,134.809,-184.264,65.096,0.804,0.754,66.704,66.603,80.986,86.383,172.765,-203.581,1.581,0.794,0.151,5.245,50,18,2.78,29,78,1,NA,22.9,4.367,0,0,0,F,30
DO-50,37.152,1.589,40.331,23.374,46.747,-178.432,66.203,1.661,1.44,69.526,69.083,39.855,45.984,91.967,-195.32,1.968,0.736,0.182,4.05,41,18,2.28,19,66,1.427,NA,31.7,4.502,0,0,0,F,30
DO-51,32.556,1.113,34.781,29.262,58.524,-179.679,38.048,0.462,0.325,38.972,38.697,82.281,117.133,234.267,-200.451,2.011,0.782,0.121,6.444,49,19,2.58,17,111,1.096,NA,41.5,2.641,0,2,0,F,30
DO-52,26.125,1.017,28.160,25.682,51.364,-174.959,43.485,0.657,0.551,44.799,44.586,66.16,78.973,157.946,-196.942,1.628,0.647,0.267,2.423,191,37,5.16,23,86,1.16,NA,28.6,4.056,0,0,0,F,30
DO-53,14.804,0.372,15.547,39.817,79.633,-173.215,47.974,0.69,0.664,49.354,49.301,69.525,72.288,144.576,-197.074,0.953,0.717,0.107,6.71,42,31,1.35,18,66,1.521,NA,39.8,3.822,0,1,0,F,30
DO-54,35.462,1.612,38.686,22.005,44.010,-176.993,78.195,1.504,1.321,81.203,80.838,51.993,59.179,118.357,-200.958,1.172,0.628,0.113,5.572,162,30,5.4,22,88,1.428,NA,32.1,4.449,0,1,0,F,30
DO-55,22.857,0.515,23.886,44.409,88.818,-180.533,58.039,1.245,1.022,60.529,60.082,46.614,56.816,113.631,-196.396,1.551,0.621,0.104,5.993,60,34,1.76,24,94,1.869,NA,44.4,4.209,0,4,0,F,30
DO-56,19.802,0.534,20.870,37.079,74.158,-176.173,41.333,0.638,0.48,42.609,42.292,64.791,86.18,172.36,-197.435,1.017,0.731,0.12,6.075,181,27,6.7,24,71,1.409,NA,40.8,3.453,0,1,0,F,30
DO-57,37.356,1.459,40.273,25.605,51.209,-179.733,54.147,0.639,0.597,55.424,55.34,84.791,90.721,181.443,-201.762,0.986,0.694,0.35,1.984,58,29,2,25,86,1.524,NA,44.1,3.456,0,1,0,F,30
DO-59,43.863,0.986,45.835,44.479,88.959,-189.330,35.561,0.519,0.282,36.599,36.125,68.478,126.066,252.132,-200.531,3.601,1.058,0.412,2.569,82,22,3.73,18,79,1.23,NA,38.9,3.162,0,4,0,F,30
DO-60,33.840,0.692,35.223,48.936,97.872,-187.123,52.215,0.847,0.586,53.91,53.386,61.613,89.18,178.36,-201.042,4.405,1.057,0.721,1.467,40,20,2,21,80,1.262,NA,28.7,4.397,0,1,0,F,30
DO-61,27.418,1.065,29.548,25.744,51.487,-175.642,33.629,0.659,0.443,34.947,34.515,51.015,75.925,151.851,-192.952,3.914,0.882,0.355,2.488,41,23,1.78,30,84,1.213,NA,30.7,3.951,0,3,0,F,30
DO-62,22.478,0.488,23.453,46.092,92.183,-180.809,38.041,0.411,0.382,38.862,38.805,92.636,99.569,199.138,-198.262,2.932,0.647,0.378,1.713,151,23,6.57,19,91,1.269,NA,36.2,3.506,3,3,0,F,30
DO-63,27.883,0.361,28.605,77.141,154.282,-190.643,77.579,1.285,1.025,80.149,79.628,60.378,75.705,151.411,-204.167,3.225,1.007,0.391,2.576,71,23,3.09,22,81,1.649,NA,51.7,3.19,1,3,0,F,30
DO-64,25.504,0.588,26.680,43.408,86.816,-181.702,22.147,0.4,0.272,22.946,22.691,55.42,81.455,162.911,-188.275,3.062,0.891,0.324,2.75,NA,NA,NA,NA,78,0.662,NA,18.5,3.578,0,0,0,F,30
DO-65,22.398,0.279,22.955,80.368,160.736,-188.246,38.714,0.763,0.596,40.24,39.905,50.723,64.999,129.998,-192.756,1.864,0.854,0.466,1.831,114,30,3.8,18,103,1.319,NA,39,3.382,0,2,0,F,30
DO-66,18.962,0.520,20.002,36.472,72.944,-175.367,55.925,0.598,0.56,57.12,57.045,93.59,99.901,199.802,-203.494,2.842,0.723,0.687,1.053,42,22,1.91,26,99,1.048,NA,31.7,3.306,0,4,0,F,30
DO-67,23.619,0.337,24.293,70.102,140.203,-187.121,63.425,1.103,0.978,65.631,65.38,57.492,64.859,129.719,-199.373,3.917,1.289,0.349,3.697,45,17,2.65,23,105,0.79,NA,23.1,3.42,0,0,0,F,30
DO-68,17.815,0.519,18.852,34.328,68.657,-173.711,41.32,0.866,0.781,43.051,42.881,47.737,52.912,105.823,-190.863,2.693,0.967,0.305,3.172,45,24,1.88,19,90,1.599,NA,33,4.845,0,3,0,F,30
DO-69,18.715,0.337,19.388,55.559,111.118,-180.857,21.343,0.374,0.249,22.091,21.841,57.114,85.793,171.586,-188.476,1.839,0.873,0.73,1.196,37,15,2.47,18,103,1.323,NA,36,3.675,1,3,0,F,30
DO-70,44.401,0.634,45.670,70.011,140.021,-195.601,55.792,0.612,0.574,57.017,56.941,91.134,97.179,194.358,-203.091,2.45,0.75,0.296,2.529,40,19,2.11,24,74,1.189,NA,28.8,4.128,0,1,0,F,30
DO-71,39.774,0.403,40.579,98.810,197.619,-198.758,35.096,0.678,0.481,36.453,36.058,51.74,72.977,145.953,-192.994,3.322,0.808,0.405,1.993,47,23,2.04,23,100,0.884,NA,27.2,3.25,0,2,0,F,30
DO-72,13.583,0.250,14.084,54.311,108.623,-176.237,67.491,0.889,0.795,69.269,69.081,75.902,84.89,169.781,-203.833,1.171,0.746,0.513,1.454,45,20,2.25,23,103,1.181,NA,30.3,3.898,0,3,0,F,30
DO-73,16.418,0.271,16.961,60.475,120.949,-180.235,57.641,1.393,1.291,60.427,60.222,41.384,44.661,89.321,-193.062,1.401,1.031,0.348,2.964,83,30,2.77,16,81,1.097,NA,27.4,4.004,0,3,0,F,30
DO-74,25.238,0.175,25.587,144.339,288.678,-197.736,53.704,0.637,0.605,54.978,54.914,84.27,88.751,177.502,-201.355,2.89,1.216,0.249,4.877,145,29,5,27,102,1.147,NA,28.8,3.983,0,4,0,F,30
DO-75,14.911,0.142,15.196,104.848,209.695,-186.348,56.075,1.052,0.879,58.179,57.833,53.309,63.797,127.594,-197.492,2.856,1.064,0.21,5.067,85,21,4.05,20,95,1.423,NA,44.9,3.169,0,1,0,F,30
DO-76,12.103,0.137,12.377,88.222,176.445,-181.214,29.623,0.693,0.492,31.01,30.607,42.726,60.183,120.366,-188.116,2.223,0.883,0.279,3.16,41,17,2.41,21,80,1.166,NA,28.1,4.149,0,1,0,F,30
DO-77,18.560,0.707,19.974,26.261,52.521,-170.656,42.421,0.765,0.522,43.951,43.466,55.468,81.246,162.492,-196.991,2.414,0.836,0.169,4.962,39,22,1.77,24,105,1.131,NA,26.5,4.268,0,3,0,F,30
DO-78,25.779,1.391,28.561,18.533,37.067,-170.388,57.887,1.132,1.092,60.15,60.072,51.158,52.989,105.977,-195.422,3.703,0.962,0.25,3.852,103,21,4.9,20,96,1.196,NA,27.1,4.413,0,4,0,F,30
DO-79,21.592,0.475,22.542,45.453,90.907,-180.080,70.137,2.084,1.925,74.304,73.986,33.661,36.444,72.888,-192.967,2.946,0.818,0.26,3.143,104,26,4,25,79,1.422,NA,33.5,4.245,0,4,0,F,30
DO-80,20.806,0.520,21.846,40.025,80.050,-177.868,42.097,1.082,0.907,44.26,43.91,38.921,46.432,92.864,-189.355,3.485,0.988,0.204,4.842,45,16,2.81,21,98,1.805,NA,48.4,3.729,0,4,0,F,30
DO-81,19.481,0.413,20.307,47.161,94.322,-179.191,59.944,1.244,1.061,62.431,62.065,48.204,56.516,113.032,-196.759,1.677,0.971,0.269,3.603,39,25,1.56,25,83,2.915,NA,52.8,5.521,2,4,0,F,30
DO-82,27.360,0.502,28.363,54.548,109.096,-185.723,54.085,0.736,0.711,55.557,55.507,73.497,76.07,152.14,-199.375,2.892,0.445,0.429,1.036,43,23,1.87,18,141,2.698,NA,57.3,4.709,2,4,0,F,30
DO-83,28.458,0.339,29.135,84.035,168.071,-192.070,29.302,0.732,0.639,30.765,30.58,40.043,45.826,91.653,-184.3,2.212,0.43,0.093,4.633,64,31,2.06,21,80,1.104,NA,24.9,4.434,0,1,0,F,30
DO-84,20.478,0.566,21.610,36.186,72.373,-176.297,17.017,0.7,0.434,18.417,17.886,24.299,39.173,78.347,-174.872,2.089,0.859,0.13,6.632,169,27,6.26,19,53,0.961,NA,21.6,4.449,NA,NA,NA,F,30
DO-85,23.403,0.332,24.067,70.503,141.006,-187.074,41.923,0.911,0.562,43.746,43.046,46.005,74.651,149.302,-195.692,1.626,0.767,0.21,3.653,140,23,6.09,22,96,1.136,NA,31.9,3.561,0,2,0,F,30
DO-86,36.498,0.259,37.016,140.918,281.836,-202.380,58.666,0.965,0.924,60.596,60.514,60.797,63.481,126.962,-198.034,3.012,0.707,0.168,4.198,51,19,2.68,19,110,0.7,NA,21.1,3.318,0,0,0,F,30
DO-87,25.359,0.405,26.168,62.686,125.372,-186.573,58.6,1.013,0.877,60.626,60.354,57.833,66.814,133.628,-198.708,1.817,0.879,0.105,8.351,37,15,2.47,16,94,1.51,NA,37.2,4.059,0,4,0,F,30
DO-88,20.485,0.297,21.079,68.872,137.743,-184.965,30.238,0.592,0.392,31.422,31.021,51.071,77.236,154.471,-191.751,2.26,0.459,0.142,3.223,52,22,2.36,19,97,1.024,NA,28,3.657,0,3,0,F,30
DO-89,27.867,0.622,29.111,44.811,89.621,-183.323,48.668,1.339,1.203,51.347,51.074,36.342,40.466,80.932,-189.456,0.901,1.51,0.146,10.334,61,31,1.97,22,110,1.918,NA,46.9,4.09,0,3,0,F,30
DO-90,17.653,0.154,17.961,114.633,229.267,-189.822,53.045,0.363,0.347,53.771,53.739,146.05,152.98,305.961,-208.52,2.834,1.162,0.565,2.057,84,24,3.5,20,107,1.999,NA,39,5.126,0,4,0,F,30
DO-91,10.958,0.160,11.278,68.420,136.841,-176.454,38.296,1.141,1.072,40.578,40.439,33.56,35.74,71.479,-184.557,2.13,1.313,0.345,3.808,62,27,2.3,18,100,1.962,NA,48.1,4.079,0,4,0,F,30
DO-92,18.185,0.410,19.006,44.303,88.606,-177.422,37.858,0.851,0.8,39.56,39.458,44.495,47.314,94.629,-188.18,1.611,1.067,0.258,4.141,186,NA,NA,19,82,1.157,NA,27.8,4.162,0,2,0,F,30
DO-93,13.688,0.273,14.233,50.224,100.447,-175.287,60.273,1.47,1.323,63.214,62.92,40.997,45.549,91.097,-193.929,1.939,0.642,0.323,1.984,59,27,2.19,23,147,2.141,NA,52.2,4.102,1,4,0,F,30
DO-94,10.602,0.155,10.913,68.195,136.390,-175.965,58.15,0.91,0.884,59.969,59.917,63.907,65.792,131.584,-198.396,1.828,0.726,0.192,3.784,101,20,5.05,16,65,1.453,NA,35.2,4.128,0,4,0,F,30
DO-95,16.120,0.444,17.008,36.288,72.575,-173.112,75.541,1.06,1.027,77.661,77.595,71.254,73.539,147.079,-203.418,2.623,0.901,0.302,2.982,117,18,6.5,14,152,1.098,NA,27.3,4.022,0,3,0,F,30
DO-96,10.735,1.566,13.867,6.855,13.710,-145.203,44.915,0.745,0.58,46.405,46.075,60.288,77.44,154.88,-197.114,2,0.659,0.098,6.69,48,28,1.71,19,89,1.998,NA,35.4,5.644,0,5,0,F,30
