Mouse,Steatosis,Ballooning,Inflammation
1,0,4,0
2,0,4,0
3,0,4,0
4,0,2,0
5,0,3,0
6,0,0,0
7,0,4,0
8,0,2,0
9,0,2,1
10,0,3,1
11,0,3,0
12,0,4,0
13,0,3,0
14,0,4,0
15,0,1,0
16,0,0,0
17,0,2,1
18,3,2,1
19,0,3,0
20,0,3,0
21,0,4,0
22,0,3,0
23,0,5,0
24,0,3,0
25,0,2,1
26,NA,NA,NA
27,0,4,0
28,0,4,0
29,0,3,1
30,0,1,1
31,0,4,0
32,2,3,0
33,1,4,0
34,1,0,0
35,1,2,0
36,3,3,0
37,NA,NA,NA
38,0,0,0
39,0,4,0
40,NA,NA,NA
41,0,1,0
42,0,3,0
43,NA,NA,NA
44,0,5,0
45,3,3,0
46,0,0,0
47,0,2,1
48,3,1,0
49,0,0,1
50,0,0,0
51,0,2,0
52,0,0,1
53,0,1,0
54,0,1,0
55,0,4,0
56,0,1,0
57,0,1,1
58,NA,NA,NA
59,0,4,0
60,0,1,0
61,0,3,0
62,3,3,0
63,1,3,0
64,0,0,0
65,0,2,0
66,0,4,1
67,0,0,0
68,0,3,0
69,1,3,0
70,0,1,0
71,0,2,0
72,0,3,0
73,0,3,1
74,0,4,0
75,0,1,0
76,0,1,0
77,0,3,0
78,0,4,0
79,0,4,1
80,0,4,1
81,2,4,0
82,2,4,0
83,0,1,0
84,NA,NA,NA
85,0,2,0
86,0,0,0
87,0,4,1
88,0,3,1
89,0,3,1
90,0,4,0
91,0,4,1
92,0,2,1
93,1,4,1
94,0,4,1
95,0,3,0
96,0,5,1
97,0,3,0
98,0,3,0
99,0,4,0
100,0,4,0
101,0,4,0
102,0,4,0
103,0,3,0
104,0,5,0
105,0,5,0
106,0,4,0
107,1,3,0
108,NA,NA,NA
109,0,4,0
110,0,2,0
111,0,2,0
112,NA,NA,NA
113,0,4,0
114,0,2,0
115,0,1,0
116,2,2,0
117,3,2,0
118,0,4,0
119,1,5,0
120,1,3,0
121,0,2,1
122,0,2,0
123,0,3,0
124,0,3,0
125,0,3,0
126,1,4,0
127,1,4,0
128,0,3,0
129,0,5,0
130,0,1,0
131,0,4,0
132,0,3,0
133,0,3,0
134,0,2,0
135,1,5,0
136,0,1,0
137,0,3,0
138,0,3,0
139,0,4,1
140,0,2,0
141,0,4,0
142,0,3,1
143,0,3,0
144,0,4,0
145,0,2,0
146,0,2,0
147,1,4,0
148,0,2,0
149,0,1,0
150,0,1,1
151,0,4,0
152,0,2,0
153,0,0,0
154,0,3,0
155,0,4,0
156,0,4,0
157,5,1,0
158,2,4,0
159,0,5,0
160,0,4,0
161,0,4,0
162,1,5,0
163,0,2,0
164,1,4,0
165,0,3,0
166,0,2,0
167,0,5,1
168,0,4,0
169,0,3,0
170,0,3,0
171,0,5,1
172,0,3,0
173,0,1,1
174,1,4,0
175,0,4,1
176,0,3,1
177,0,4,1
178,0,4,1
179,0,4,0
180,0,4,0
181,0,4,1
182,1,4,1
183,0,3,0
184,0,3,1
185,0,3,0
186,2,4,0
187,0,4,0
188,0,1,0
189,2,4,0
190,0,2,0
191,0,3,0
192,0,4,0
193,0,2,0
194,0,4,1
195,0,2,0
196,0,4,0
197,0,2,0
198,0,1,0
199,0,4,0
200,0,3,1
201,0,4,0
202,0,3,0
203,0,2,0
204,0,5,0
205,0,2,0
206,0,3,0
207,0,3,0
208,0,3,0
209,0,4,0
210,0,1,0
211,0,3,0
212,0,2,0
213,0,3,0
214,0,2,0
215,1,4,1
216,0,4,0
217,0,4,0
218,0,3,0
219,0,2,0
220,1,4,0
221,0,3,0
222,0,4,0
223,0,4,0
224,1,5,0
225,0,2,0
226,0,3,0
227,0,4,0
228,0,3,0
229,0,2,0
230,0,3,0
231,0,4,0
232,1,4,0
233,0,4,0
234,NA,NA,NA
235,0,4,0
236,NA,NA,NA
237,0,2,0
238,0,3,0
239,0,2,0
240,0,2,0
241,0,3,0
242,0,3,0
243,0,3,0
244,1,3,0
245,0,3,0
246,0,3,0
247,0,4,0
248,0,3,1
249,0,5,0
250,0,2,0
251,0,2,0
252,0,0,0
253,0,4,0
254,0,3,0
255,0,3,0
256,1,1,0
257,0,4,0
258,0,5,0
259,0,2,0
260,0,4,0
261,0,3,0
262,0,4,1
263,0,5,0
264,0,4,0
265,0,4,0
266,0,5,0
267,0,2,1
268,0,1,0
269,0,4,0
270,0,2,0
271,0,3,0
272,0,0,0
273,1,4,0
274,3,4,0
275,0,4,0
276,0,2,0
277,0,4,0
278,0,5,0
279,0,3,0
280,NA,NA,NA
281,0,3,0
282,0,3,0
283,0,4,0
284,0,4,1
285,0,3,0
286,0,2,0
287,NA,NA,NA
288,0,3,0
289,0,4,0
290,NA,NA,NA
291,2,4,0
292,0,3,0
293,0,3,0
294,0,3,0
295,0,4,1
296,2,2,0
297,1,4,0
298,0,1,0
299,1,3,0
300,1,3,0
301,0,5,0
302,0,3,0
303,0,3,0
304,0,4,0
305,1,3,0
306,0,3,0
307,NA,NA,NA
308,0,2,1
309,0,3,0
310,0,1,0
311,0,3,0
312,1,3,0
313,1,3,0
314,0,3,0
315,0,4,0
316,0,4,0
317,0,2,0
318,0,5,0
319,0,4,1
320,0,3,0
321,0,4,0
322,1,3,0
323,0,2,0
324,0,2,0
325,1,4,0
326,0,3,0
327,0,4,0
328,0,3,0
329,0,2,1
330,0,3,0
331,0,4,0
332,1,4,0
333,0,4,0
334,1,3,0
335,0,3,0
336,0,3,0
337,0,3,0
338,0,3,1
339,0,4,0
340,0,2,0
341,0,4,0
342,0,3,0
343,0,4,0
344,0,3,0
345,0,4,1
346,0,4,0
347,1,3,0
348,0,3,0
349,0,4,0
350,0,4,0
351,0,3,0
352,3,4,0
353,0,1,0
354,0,4,0
355,0,3,0
356,0,3,0
357,1,4,0
358,0,3,0
359,0,4,0
360,NA,NA,NA
361,0,4,0
362,1,4,0
363,0,4,0
364,0,4,0
365,0,4,0
