Mouse,Sex,GSH/GSSG,Target/Ref
1,M,104.688,0.0513
2,M,115.305,0.0000
4,M,117.201,0.0024
10,M,99.94,NA
16,M,49.507,0.0000
18,M,46.196,0.0618
22,M,48.607,0.0080
27,M,46.492,0.0007
29,M,110.391,0.0007
31,M,44.151,NA
32,M,52.134,0.0002
33,M,51.248,0.0005
35,M,49.413,0.0000
41,M,45.929,0.0000
42,M,43.784,0.0002
46,M,38.543,0.0000
50,F,45.984,0.0183
51,F,117.133,NA
59,F,126.066,0.0005
68,F,52.912,NA
73,F,44.661,0.0050
78,F,52.989,0.0004
79,F,36.444,NA
80,F,46.432,0.0001
83,F,45.826,0.0087
84,F,39.173,0.0054
89,F,40.466,0.7165
90,F,152.98,0.0003
91,F,35.74,0.4583
92,F,47.314,0.3138
93,F,45.549,3.0530
97,F,31.894,0.0095
98,F,42.863,0.0144
104,M,120.507,0.0000
105,M,136.008,NA
109,M,152.937,0.0172
113,M,107.04,0.0000
114,M,51.173,0.0001
116,M,35.629,0.0000
121,M,108.685,NA
128,M,44.854,NA
131,M,118.009,0.0000
134,M,156.81,0.0001
136,M,144.187,0.0001
137,M,120.168,NA
139,M,145.586,0.0000
140,M,146.931,0.0072
146,M,169.761,0.0038
147,M,34.392,NA
148,M,122.759,0.1584
155,M,100.951,0.0123
156,M,102.144,0.8020
163,F,129.462,0.0132
165,F,117.014,0.0010
166,F,106.014,NA
168,F,134.892,0.0708
174,F,32.304,0.0006
178,F,100.373,0.0021
180,F,53.392,0.0061
181,F,48.408,2.3350
185,F,124.199,0.0521
187,F,131.606,0.0639
192,F,177.181,0.0436
194,F,111.349,2.0750
196,F,125.492,1.8160
201,F,132.278,1.7900
203,F,104.078,0.3105
204,F,41.043,NA
209,F,131.285,NA
211,F,112.411,2.6070
214,F,145.509,4.2580
218,F,114.409,NA
221,M,101.011,0.9585
232,M,51.102,0.3825
238,M,100.396,1.5340
256,M,34.344,0.0254
257,M,44.917,9.0400
259,M,111.251,0.0356
261,M,36.694,NA
262,M,41.761,NA
264,M,104.411,0.1021
266,M,38.288,NA
275,M,123.569,2.0680
283,M,45.624,NA
288,M,53.211,NA
291,M,52.165,NA
292,M,44.824,0.1919
300,F,128.107,NA
314,F,41.368,0.0260
317,F,51.561,NA
320,F,119.406,0.0153
331,F,105.349,140.3000
332,F,115.3,0.0009
337,F,143.239,NA
347,F,54.781,0.1011
350,F,48.552,NA
354,F,42.476,0.1144
359,F,146.051,0.0025
361,F,50.694,0.0427
365,F,52.752,0.0012
,,,
