Mouse,Sex,GSH/GSSG,Target/Ref
1,M,104.688,0.00179
2,M,115.305,0.00000
4,M,117.201,0.01200
10,M,99.94,NA
29,M,110.391,0.00007
51,F,117.133,NA
59,F,126.066,0.00088
90,F,152.98,0.00006
104,M,120.507,0.00035
105,M,136.008,NA
109,M,152.937,0.02020
113,M,107.04,0.00000
121,M,108.685,NA
131,M,118.009,0.00000
134,M,156.81,0.00076
136,M,144.187,0.00063
137,M,120.168,NA
139,M,145.586,0.00000
140,M,146.931,0.01300
146,M,169.761,0.00905
148,M,122.759,0.00858
155,M,100.951,0.02720
156,M,102.144,0.79740
163,F,129.462,0.07300
165,F,117.014,0.00024
166,F,106.014,0.00084
168,F,134.892,0.02100
178,F,100.373,0.00027
185,F,124.199,0.01360
187,F,131.606,0.11400
192,F,177.181,0.01010
194,F,111.349,0.02430
196,F,125.492,0.09590
201,F,132.278,0.11750
203,F,104.078,0.02450
209,F,131.285,1.05100
211,F,112.411,0.13140
214,F,145.509,0.69590
218,F,114.409,NA
221,M,101.011,0.01620
238,M,100.396,0.05820
259,M,111.251,0.00204
264,M,104.411,0.00201
275,M,123.569,0.18570
300,F,128.107,0.99490
320,F,119.406,0.00208
331,F,105.349,0.10040
332,F,115.3,0.00099
337,F,143.239,NA
359,F,146.051,0.01090
