GSHGSSGRatioGroup,DeltaCT
Low,0.0095
Low,0.0006
Low,0.0254
Low,NA
Low,0
Low,0.4583
Low,NA
Low,NA
Low,NA
Low,0
Low,0.0054
Low,0.7165
Low,NA
Low,0.026
Low,NA
Low,0.1144
Low,0.0144
Low,0.0002
Low,NA
Low,0.005
Low,0.1919
Low,NA
Low,9.04
Low,3.053
Low,NA
Low,0.0087
Low,0
Low,0.0183
Low,0.0618
Low,0.0001
Low,0.0007
Low,0.3138
Low,2.335
Low,NA
Low,0.008
Low,0
Low,0
Low,0.0427
Low,0.3825
Low,0.0001
Low,0.0005
Low,NA
Low,0.0002
Low,NA
Low,0.0012
Low,NA
Low,0.0004
Low,NA
Low,0.0061
Low,0.1011
Low,NA
High,0.0021
High,1.534
High,0.0123
High,0.9585
High,0.802
High,0.3105
High,0.1021
High,0.0513
High,NA
High,NA
High,0
High,NA
High,0.0007
High,0.0356
High,2.075
High,2.607
High,NA
High,0.0009
High,0
High,0.001
High,NA
High,0.0024
High,0
High,0.0153
High,NA
High,0
High,0.1584
High,2.068
High,0.0521
High,1.816
High,0.0005
High,NA
High,0.0132
High,NA
High,0.0639
High,1.79
High,0.0708
High,NA
High,NA
High,0.0001
High,4.258
High,0
High,0.0025
High,0.0072
High,0.0172
High,0.0003
High,0.0001
High,0.0038
High,0.0436
