Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
1,30,M,NA,NA,0.604,NA,1.788,46.189,0.441,47.071,104.688,-201.549
2,30,M,3.066,NA,0.609,NA,1.922,60.649,0.526,61.701,115.305,-206.517
3,30,M,NA,NA,0.642,NA,2.092,109.341,1.121,111.584,97.5,-212.193
4,30,M,NA,NA,0.647,NA,1.485,83.233,0.71,84.653,117.201,-210.998
5,30,M,NA,NA,0.766,NA,1.768,30.433,0.509,31.451,59.798,-188.393
6,30,M,3.516,NA,0.374,NA,1.56,54.483,0.575,55.632,94.831,-202.441
7,30,M,NA,NA,0.606,NA,1.844,43.243,0.451,44.145,95.786,-199.466
8,30,M,NA,NA,0.649,NA,1.47,38.471,0.495,39.461,77.696,-195.073
9,30,M,NA,NA,0.547,NA,1.999,44.49,0.646,45.782,68.878,-195.409
10,30,M,NA,0.451,0.159,2.835,2.437,63.417,0.635,64.686,99.94,-205.192
11,30,M,NA,NA,0.786,NA,1.949,97.954,1.313,100.58,74.61,-207.11
12,30,M,NA,NA,0.608,NA,1.872,73.065,0.853,74.772,85.642,-205.02
13,30,M,NA,NA,0.396,NA,1.571,37.024,0.485,37.995,76.275,-194.309
14,30,M,NA,NA,0.501,NA,2.441,113.359,1.937,117.232,58.53,-205.809
15,30,M,4.564,NA,0.72,NA,1.36,43.777,0.623,45.024,70.228,-195.453
16,30,M,NA,0.552,0.436,1.267,1.255,56.383,1.139,58.661,49.507,-194.152
17,30,M,NA,NA,0.777,NA,1.703,31.545,0.501,32.546,63.018,-189.582
18,30,M,NA,NA,0.238,NA,2.16,64.133,1.388,66.909,46.196,-194.954
19,30,M,3.906,0.924,0.516,1.792,1.655,94.55,0.997,96.544,94.805,-209.859
20,30,M,2.838,0.575,0.424,1.356,1.508,40.377,0.517,41.411,78.071,-195.789
21,30,M,3.009,0.829,0.433,1.914,1.919,41.869,0.429,42.728,97.55,-199.277
22,30,M,3.531,0.334,0.67,0.499,2.091,100.066,2.059,104.184,48.607,-201.629
