Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
1,30,M,17.819,17.232,0.293,58.746,-180.497
2,30,M,14.922,14.566,0.178,81.846,-182.699
3,30,M,17.98,17.596,0.192,91.689,-186.772
4,30,M,18.263,17.856,0.203,87.918,-186.404
5,30,M,19.181,18.927,0.127,149.191,-194.308
6,30,M,22.864,22.435,0.214,104.744,-191.835
7,30,M,23.621,23.106,0.257,89.757,-190.153
8,30,M,21.562,20.874,0.344,60.65,-183.507
9,30,M,24.688,24.21,0.239,101.32,-192.412
10,30,M,18.504,18.267,0.118,154.263,-194.28
11,30,M,28.403,27.892,0.256,109.023,-195.305
12,30,M,NA,NA,NA,NA,NA
13,30,M,25.84,25.18,0.33,76.326,-189.128
14,30,M,18.821,18.134,0.343,52.833,-179.756
15,30,M,19.874,19.597,0.138,141.623,-194.075
16,30,M,19.505,19.13,0.187,102.26,-189.366
17,30,M,20.264,19.771,0.246,80.27,-186.55
18,30,M,16.393,15.562,0.416,37.418,-173.051
19,30,M,16.567,16.249,0.159,102.083,-187.145
20,30,M,31.045,30.422,0.312,97.651,-194.991
21,30,M,13.999,13.703,0.148,92.41,-183.51
22,30,M,24.133,23.858,0.137,173.825,-199.482
23,30,M,20.975,20.741,0.117,177.9,-197.909
24,30,M,17.379,17.061,0.159,107.116,-188.449
25,30,M,24.646,23.496,0.575,40.878,-179.789
26,30,M,NA,NA,NA,NA,NA
27,30,M,13.423,13.118,0.152,86.157,-181.98
28,30,M,15.493,15.122,0.186,81.491,-183.144
29,30,M,17.719,17.249,0.235,73.508,-183.528
30,30,M,19.045,18.438,0.303,60.755,-181.86
31,30,M,23.36,22.394,0.483,46.34,-180.831
32,30,M,28.683,27.742,0.471,58.956,-186.955
33,30,M,21.74,20.97,0.385,54.465,-182.121
34,30,M,NA,NA,NA,NA,NA
35,30,M,26.465,25.193,0.636,39.605,-180.302
36,30,M,24.299,23.283,0.508,45.834,-181.207
37,30,M,NA,NA,NA,NA,NA
38,30,M,49.074,47.712,0.681,70.068,-196.581
39,30,M,37.664,34.708,1.478,23.484,-177.579
40,30,M,NA,NA,NA,NA,NA
41,30,M,32.566,31.808,0.379,83.945,-193.555
42,30,M,30.414,29.673,0.37,80.091,-191.986
43,30,M,NA,NA,NA,NA,NA
44,30,M,39.317,37.463,0.927,40.433,-185.922
45,30,M,41.707,40.729,0.489,83.327,-196.783
46,30,M,30.439,28.945,0.747,38.763,-181.882
47,30,M,22.989,22.389,0.3,74.727,-187.261
48,30,M,32.243,30.58,0.832,36.765,-181.909
49,30,F,20.457,19.867,0.295,67.405,-184.264
50,30,F,40.331,37.152,1.589,23.374,-178.432
51,30,F,34.781,32.556,1.113,29.262,-179.679
52,30,F,28.16,26.125,1.017,25.682,-174.959
53,30,F,15.547,14.804,0.372,39.817,-173.215
54,30,F,38.686,35.462,1.612,22.005,-176.993
55,30,F,23.886,22.857,0.515,44.409,-180.533
56,30,F,20.87,19.802,0.534,37.079,-176.173
57,30,F,40.273,37.356,1.459,25.605,-179.733
58,30,F,NA,NA,NA,NA,NA
59,30,F,45.835,43.863,0.986,44.479,-189.33
60,30,F,35.223,33.84,0.692,48.936,-187.123
61,30,F,29.548,27.418,1.065,25.744,-175.642
62,30,F,23.453,22.478,0.488,46.092,-180.809
63,30,F,28.605,27.883,0.361,77.141,-190.643
64,30,F,26.68,25.504,0.588,43.408,-181.702
65,30,F,22.955,22.398,0.279,80.368,-188.246
66,30,F,20.002,18.962,0.52,36.472,-175.367
67,30,F,24.293,23.619,0.337,70.102,-187.121
68,30,F,18.852,17.815,0.519,34.328,-173.711
69,30,F,19.388,18.715,0.337,55.559,-180.857
70,30,F,45.67,44.401,0.634,70.011,-195.601
71,30,F,40.579,39.774,0.403,98.81,-198.758
72,30,F,14.084,13.583,0.25,54.311,-176.237
73,30,F,16.961,16.418,0.271,60.475,-180.235
74,30,F,25.587,25.238,0.175,144.339,-197.736
75,30,F,15.196,14.911,0.142,104.848,-186.348
76,30,F,12.377,12.103,0.137,88.222,-181.214
77,30,F,19.974,18.56,0.707,26.261,-170.656
78,30,F,28.561,25.779,1.391,18.533,-170.388
79,30,F,22.542,21.592,0.475,45.453,-180.08
80,30,F,21.846,20.806,0.52,40.025,-177.868
81,30,F,20.307,19.481,0.413,47.161,-179.191
