Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug)
1,30,M,17.819,17.232,0.293,58.746,-180.497,0.604,NA,NA,NA
2,30,M,14.922,14.566,0.178,81.846,-182.699,0.609,NA,NA,3.066
3,30,M,17.98,17.596,0.192,91.689,-186.772,0.642,NA,NA,NA
4,30,M,18.263,17.856,0.203,87.918,-186.404,0.647,NA,NA,NA
5,30,M,19.181,18.927,0.127,149.191,-194.308,0.766,NA,NA,NA
6,30,M,22.864,22.435,0.214,104.744,-191.835,0.374,NA,NA,3.516
7,30,M,23.621,23.106,0.257,89.757,-190.153,0.606,NA,NA,NA
8,30,M,21.562,20.874,0.344,60.65,-183.507,0.649,NA,NA,NA
9,30,M,24.688,24.21,0.239,101.32,-192.412,0.547,NA,NA,NA
10,30,M,18.504,18.267,0.118,154.263,-194.28,0.159,0.451,2.835,NA
11,30,M,28.403,27.892,0.256,109.023,-195.305,0.786,NA,NA,NA
12,30,M,NA,NA,NA,NA,NA,0.608,NA,NA,NA
13,30,M,25.84,25.18,0.33,76.326,-189.128,0.396,NA,NA,NA
14,30,M,18.821,18.134,0.343,52.833,-179.756,0.501,NA,NA,NA
15,30,M,19.874,19.597,0.138,141.623,-194.075,0.72,NA,NA,4.564
16,30,M,19.505,19.13,0.187,102.26,-189.366,0.436,0.552,1.267,NA
17,30,M,20.264,19.771,0.246,80.27,-186.55,0.777,NA,NA,NA
18,30,M,16.393,15.562,0.416,37.418,-173.051,0.238,NA,NA,NA
19,30,M,16.567,16.249,0.159,102.083,-187.145,0.516,0.924,1.792,3.906
20,30,M,31.045,30.422,0.312,97.651,-194.991,0.424,0.575,1.356,2.838
21,30,M,13.999,13.703,0.148,92.41,-183.51,0.433,0.829,1.914,3.009
22,30,M,24.133,23.858,0.137,173.825,-199.482,0.67,0.334,0.499,3.531
23,30,M,20.975,20.741,0.117,177.9,-197.909,0.456,0.46,1.007,2.732
24,30,M,17.379,17.061,0.159,107.116,-188.449,0.223,0.463,2.082,2.523
25,30,M,24.646,23.496,0.575,40.878,-179.789,0.276,0.801,2.906,1.954
26,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,13.423,13.118,0.152,86.157,-181.98,0.334,0.724,2.167,2.307
28,30,M,15.493,15.122,0.186,81.491,-183.144,0.488,0.525,1.075,2.363
29,30,M,17.719,17.249,0.235,73.508,-183.528,0.263,0.636,2.42,2.866
30,30,M,19.045,18.438,0.303,60.755,-181.86,0.359,0.53,1.477,3.168
31,30,M,23.36,22.394,0.483,46.34,-180.831,0.403,0.641,1.59,2.25
32,30,M,28.683,27.742,0.471,58.956,-186.955,0.609,0.417,0.685,3.106
33,30,M,21.74,20.97,0.385,54.465,-182.121,0.469,0.399,0.851,3.333
34,30,M,NA,NA,NA,NA,NA,0.405,0.579,1.429,3.829
35,30,M,26.465,25.193,0.636,39.605,-180.302,0.337,0.666,1.972,2.635
36,30,M,24.299,23.283,0.508,45.834,-181.207,0.527,0.421,0.798,2.433
37,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,49.074,47.712,0.681,70.068,-196.581,0.333,0.814,2.445,2.255
39,30,M,37.664,34.708,1.478,23.484,-177.579,0.295,0.502,1.701,1.409
40,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,32.566,31.808,0.379,83.945,-193.555,0.31,0.469,1.514,1.696
42,30,M,30.414,29.673,0.37,80.091,-191.986,0.288,0.507,1.76,1.61
43,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,39.317,37.463,0.927,40.433,-185.922,0.23,0.551,2.392,1.927
45,30,M,41.707,40.729,0.489,83.327,-196.783,0.271,0.401,1.484,0.653
46,30,M,30.439,28.945,0.747,38.763,-181.882,0.236,0.548,2.32,1.96
47,30,M,22.989,22.389,0.3,74.727,-187.261,0.401,0.435,1.087,1.407
48,30,M,32.243,30.58,0.832,36.765,-181.909,0.354,0.429,1.213,1.554
49,30,F,20.457,19.867,0.295,67.405,-184.264,0.151,0.794,5.245,1.581
50,30,F,40.331,37.152,1.589,23.374,-178.432,0.182,0.736,4.05,1.968
51,30,F,34.781,32.556,1.113,29.262,-179.679,0.121,0.782,6.444,2.011
52,30,F,28.16,26.125,1.017,25.682,-174.959,0.267,0.647,2.423,1.628
53,30,F,15.547,14.804,0.372,39.817,-173.215,0.107,0.717,6.71,0.953
54,30,F,38.686,35.462,1.612,22.005,-176.993,0.113,0.628,5.572,1.172
55,30,F,23.886,22.857,0.515,44.409,-180.533,0.104,0.621,5.993,1.551
56,30,F,20.87,19.802,0.534,37.079,-176.173,0.12,0.731,6.075,1.017
57,30,F,40.273,37.356,1.459,25.605,-179.733,0.35,0.694,1.984,0.986
58,30,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,F,45.835,43.863,0.986,44.479,-189.33,0.412,1.058,2.569,3.601
60,30,F,35.223,33.84,0.692,48.936,-187.123,0.721,1.057,1.467,4.405
61,30,F,29.548,27.418,1.065,25.744,-175.642,0.355,0.882,2.488,3.914
62,30,F,23.453,22.478,0.488,46.092,-180.809,0.378,0.647,1.713,2.932
63,30,F,28.605,27.883,0.361,77.141,-190.643,0.391,1.007,2.576,3.225
64,30,F,26.68,25.504,0.588,43.408,-181.702,0.324,0.891,2.75,3.062
65,30,F,22.955,22.398,0.279,80.368,-188.246,0.466,0.854,1.831,1.864
66,30,F,20.002,18.962,0.52,36.472,-175.367,0.687,0.723,1.053,2.842
67,30,F,24.293,23.619,0.337,70.102,-187.121,0.349,1.289,3.697,3.917
68,30,F,18.852,17.815,0.519,34.328,-173.711,0.305,0.967,3.172,2.693
69,30,F,19.388,18.715,0.337,55.559,-180.857,0.73,0.873,1.196,1.839
70,30,F,45.67,44.401,0.634,70.011,-195.601,0.296,0.75,2.529,2.45
71,30,F,40.579,39.774,0.403,98.81,-198.758,0.405,0.808,1.993,3.322
72,30,F,14.084,13.583,0.25,54.311,-176.237,0.513,0.746,1.454,1.171
73,30,F,16.961,16.418,0.271,60.475,-180.235,0.348,1.031,2.964,1.401
74,30,F,25.587,25.238,0.175,144.339,-197.736,0.249,1.216,4.877,2.89
75,30,F,15.196,14.911,0.142,104.848,-186.348,0.21,1.064,5.067,2.856
76,30,F,12.377,12.103,0.137,88.222,-181.214,0.279,0.883,3.16,2.223
77,30,F,19.974,18.56,0.707,26.261,-170.656,0.169,0.836,4.962,2.414
78,30,F,28.561,25.779,1.391,18.533,-170.388,0.25,0.962,3.852,3.703
79,30,F,22.542,21.592,0.475,45.453,-180.08,0.26,0.818,3.143,2.946
80,30,F,21.846,20.806,0.52,40.025,-177.868,0.204,0.988,4.842,3.485
81,30,F,20.307,19.481,0.413,47.161,-179.191,0.269,0.971,3.603,1.677
82,30,F,28.363,27.36,0.502,54.548,-185.723,0.429,0.445,1.036,2.892
83,30,F,29.135,28.458,0.339,84.035,-192.07,0.093,0.43,4.633,2.212
84,30,F,21.61,20.478,0.566,36.186,-176.297,0.13,0.859,6.632,2.089
85,30,F,24.067,23.403,0.332,70.503,-187.074,0.21,0.767,3.653,1.626
86,30,F,37.016,36.498,0.259,140.918,-202.38,0.168,0.707,4.198,3.012
87,30,F,26.168,25.359,0.405,62.686,-186.573,0.105,0.879,8.351,1.817
88,30,F,21.079,20.485,0.297,68.872,-184.965,0.142,0.459,3.223,2.26
89,30,F,29.111,27.867,0.622,44.811,-183.323,0.146,1.51,10.334,0.901
90,30,F,17.961,17.653,0.154,114.633,-189.822,0.565,1.162,2.057,2.834
91,30,F,11.278,10.958,0.16,68.42,-176.454,0.345,1.313,3.808,2.13
