Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug),BUN (mg/dL)
1,30,M,17.819,17.232,0.293,58.746,-180.497,47.071,46.189,0.441,104.688,-201.549,0.604,NA,NA,NA,28
2,30,M,14.922,14.566,0.178,81.846,-182.699,61.701,60.649,0.526,115.305,-206.517,0.609,NA,NA,3.066,23
3,30,M,17.98,17.596,0.192,91.689,-186.772,111.584,109.341,1.121,97.5,-212.193,0.642,NA,NA,NA,26
4,30,M,18.263,17.856,0.203,87.918,-186.404,84.653,83.233,0.71,117.201,-210.998,0.647,NA,NA,NA,20
5,30,M,19.181,18.927,0.127,149.191,-194.308,31.451,30.433,0.509,59.798,-188.393,0.766,NA,NA,NA,21
6,30,M,22.864,22.435,0.214,104.744,-191.835,55.632,54.483,0.575,94.831,-202.441,0.374,NA,NA,3.516,29
7,30,M,23.621,23.106,0.257,89.757,-190.153,44.145,43.243,0.451,95.786,-199.466,0.606,NA,NA,NA,23
8,30,M,21.562,20.874,0.344,60.65,-183.507,39.461,38.471,0.495,77.696,-195.073,0.649,NA,NA,NA,21
9,30,M,24.688,24.21,0.239,101.32,-192.412,45.782,44.49,0.646,68.878,-195.409,0.547,NA,NA,NA,18
10,30,M,18.504,18.267,0.118,154.263,-194.28,64.686,63.417,0.635,99.94,-205.192,0.159,0.451,2.835,NA,22
11,30,M,28.403,27.892,0.256,109.023,-195.305,100.58,97.954,1.313,74.61,-207.11,0.786,NA,NA,NA,35
12,30,M,NA,NA,NA,NA,NA,74.772,73.065,0.853,85.642,-205.02,0.608,NA,NA,NA,24
13,30,M,25.84,25.18,0.33,76.326,-189.128,37.995,37.024,0.485,76.275,-194.309,0.396,NA,NA,NA,23
14,30,M,18.821,18.134,0.343,52.833,-179.756,117.232,113.359,1.937,58.53,-205.809,0.501,NA,NA,NA,20
15,30,M,19.874,19.597,0.138,141.623,-194.075,45.024,43.777,0.623,70.228,-195.453,0.72,NA,NA,4.564,26
16,30,M,19.505,19.13,0.187,102.26,-189.366,58.661,56.383,1.139,49.507,-194.152,0.436,0.552,1.267,NA,21
17,30,M,20.264,19.771,0.246,80.27,-186.55,32.546,31.545,0.501,63.018,-189.582,0.777,NA,NA,NA,19
18,30,M,16.393,15.562,0.416,37.418,-173.051,66.909,64.133,1.388,46.196,-194.954,0.238,NA,NA,NA,32
19,30,M,16.567,16.249,0.159,102.083,-187.145,96.544,94.55,0.997,94.805,-209.859,0.516,0.924,1.792,3.906,25
20,30,M,31.045,30.422,0.312,97.651,-194.991,41.411,40.377,0.517,78.071,-195.789,0.424,0.575,1.356,2.838,20
21,30,M,13.999,13.703,0.148,92.41,-183.51,42.728,41.869,0.429,97.55,-199.277,0.433,0.829,1.914,3.009,23
22,30,M,24.133,23.858,0.137,173.825,-199.482,104.184,100.066,2.059,48.607,-201.629,0.67,0.334,0.499,3.531,34
23,30,M,20.975,20.741,0.117,177.9,-197.909,73.924,71.729,1.098,65.348,-201.131,0.456,0.46,1.007,2.732,24
24,30,M,17.379,17.061,0.159,107.116,-188.449,82.685,80.849,0.918,88.041,-206.755,0.223,0.463,2.082,2.523,26
25,30,M,24.646,23.496,0.575,40.878,-179.789,62.999,61.53,0.734,83.788,-202.412,0.276,0.801,2.906,1.954,22
26,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,13.423,13.118,0.152,86.157,-181.98,71.286,68.346,1.47,46.492,-195.897,0.334,0.724,2.167,2.307,26
28,30,M,15.493,15.122,0.186,81.491,-183.144,101.746,99.552,1.097,90.745,-209.964,0.488,0.525,1.075,2.363,33
29,30,M,17.719,17.249,0.235,73.508,-183.528,67.739,66.534,0.603,110.391,-207.177,0.263,0.636,2.42,2.866,19
30,30,M,19.045,18.438,0.303,60.755,-181.86,20.094,19.669,0.213,92.445,-188.381,0.359,0.53,1.477,3.168,28
31,30,M,23.36,22.394,0.483,46.34,-180.831,76.696,73.372,1.662,44.151,-196.157,0.403,0.641,1.59,2.25,23
32,30,M,28.683,27.742,0.471,58.956,-186.955,43.781,42.164,0.809,52.134,-190.936,0.609,0.417,0.685,3.106,40
33,30,M,21.74,20.97,0.385,54.465,-182.121,98.696,94.989,1.854,51.248,-201.64,0.469,0.399,0.851,3.333,27
34,30,M,NA,NA,NA,NA,NA,18.523,18.045,0.239,75.506,-184.496,0.405,0.579,1.429,3.829,26
35,30,M,26.465,25.193,0.636,39.605,-180.302,62.232,59.811,1.21,49.413,-194.921,0.337,0.666,1.972,2.635,23
36,30,M,24.299,23.283,0.508,45.834,-181.207,34.621,33.472,0.575,58.251,-189.321,0.527,0.421,0.798,2.433,24
37,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,49.074,47.712,0.681,70.068,-196.581,10.183,9.843,0.17,57.836,-172.747,0.333,0.814,2.445,2.255,37
39,30,M,37.664,34.708,1.478,23.484,-177.579,53.7,52.436,0.632,82.948,-200.123,0.295,0.502,1.701,1.409,24
40,30,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
