Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
1,30,M,47.071,46.189,0.441,104.688,-201.549,0.604,NA,NA,NA,1.788
2,30,M,61.701,60.649,0.526,115.305,-206.517,0.609,NA,NA,3.066,1.922
3,30,M,111.584,109.341,1.121,97.5,-212.193,0.642,NA,NA,NA,2.092
4,30,M,84.653,83.233,0.71,117.201,-210.998,0.647,NA,NA,NA,1.485
5,30,M,31.451,30.433,0.509,59.798,-188.393,0.766,NA,NA,NA,1.768
6,30,M,55.632,54.483,0.575,94.831,-202.441,0.374,NA,NA,3.516,1.56
7,30,M,44.145,43.243,0.451,95.786,-199.466,0.606,NA,NA,NA,1.844
8,30,M,39.461,38.471,0.495,77.696,-195.073,0.649,NA,NA,NA,1.47
9,30,M,45.782,44.49,0.646,68.878,-195.409,0.547,NA,NA,NA,1.999
10,30,M,64.686,63.417,0.635,99.94,-205.192,0.159,0.451,2.835,NA,2.437
11,30,M,100.58,97.954,1.313,74.61,-207.11,0.786,NA,NA,NA,1.949
12,30,M,74.772,73.065,0.853,85.642,-205.02,0.608,NA,NA,NA,1.872
13,30,M,37.995,37.024,0.485,76.275,-194.309,0.396,NA,NA,NA,1.571
14,30,M,117.232,113.359,1.937,58.53,-205.809,0.501,NA,NA,NA,2.441
15,30,M,45.024,43.777,0.623,70.228,-195.453,0.72,NA,NA,4.564,1.36
16,30,M,58.661,56.383,1.139,49.507,-194.152,0.436,0.552,1.267,NA,1.255
17,30,M,32.546,31.545,0.501,63.018,-189.582,0.777,NA,NA,NA,1.703
18,30,M,66.909,64.133,1.388,46.196,-194.954,0.238,NA,NA,NA,2.16
19,30,M,96.544,94.55,0.997,94.805,-209.859,0.516,0.924,1.792,3.906,1.655
20,30,M,41.411,40.377,0.517,78.071,-195.789,0.424,0.575,1.356,2.838,1.508
21,30,M,42.728,41.869,0.429,97.55,-199.277,0.433,0.829,1.914,3.009,1.919
22,30,M,104.184,100.066,2.059,48.607,-201.629,0.67,0.334,0.499,3.531,2.091
23,30,M,73.924,71.729,1.098,65.348,-201.131,0.456,0.46,1.007,2.732,3.162
24,30,M,82.685,80.849,0.918,88.041,-206.755,0.223,0.463,2.082,2.523,1.773
25,30,M,62.999,61.53,0.734,83.788,-202.412,0.276,0.801,2.906,1.954,1.724
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,71.286,68.346,1.47,46.492,-195.897,0.334,0.724,2.167,2.307,2.565
28,30,M,101.746,99.552,1.097,90.745,-209.964,0.488,0.525,1.075,2.363,1.496
29,30,M,67.739,66.534,0.603,110.391,-207.177,0.263,0.636,2.42,2.866,1.487
30,30,M,20.094,19.669,0.213,92.445,-188.381,0.359,0.53,1.477,3.168,1.584
31,30,M,76.696,73.372,1.662,44.151,-196.157,0.403,0.641,1.59,2.25,2.023
32,30,M,43.781,42.164,0.809,52.134,-190.936,0.609,0.417,0.685,3.106,3.068
33,30,M,98.696,94.989,1.854,51.248,-201.64,0.469,0.399,0.851,3.333,2.204
34,30,M,18.523,18.045,0.239,75.506,-184.496,0.405,0.579,1.429,3.829,1.516
35,30,M,62.232,59.811,1.21,49.413,-194.921,0.337,0.666,1.972,2.635,1.508
36,30,M,34.621,33.472,0.575,58.251,-189.321,0.527,0.421,0.798,2.433,2.91
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,10.183,9.843,0.17,57.836,-172.747,0.333,0.814,2.445,2.255,1.091
39,30,M,53.7,52.436,0.632,82.948,-200.123,0.295,0.502,1.701,1.409,2.422
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,35.472,33.992,0.74,45.929,-186.329,0.31,0.469,1.514,1.696,1.651
42,30,M,77.522,74.136,1.693,43.784,-196.184,0.288,0.507,1.76,1.61,1.627
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,43.043,41.694,0.674,61.841,-193.084,0.23,0.551,2.392,1.927,2.363
45,30,M,58.744,57.554,0.595,96.683,-203.44,0.271,0.401,1.484,0.653,3.111
46,30,M,41.288,39.251,1.018,38.543,-185.906,0.236,0.548,2.32,1.96,1.369
47,30,M,60.774,58.81,0.982,59.864,-197.277,0.401,0.435,1.087,1.407,1.665
48,30,M,70.053,67.772,1.141,59.407,-199.083,0.354,0.429,1.213,1.554,2.591
49,30,F,66.603,65.096,0.754,86.383,-203.581,0.151,0.794,5.245,1.581,1
