Mouse,Generation,Sex,Steatosis,Hydropic Degeneration,Inflammation,Liver GSH (nmol/mg),Liver GSSG (nmol/mg),Liver Total Glutathione (nmol/mg),Liver GSH/GSSG,Liver Eh (mV),Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
1,30,M,0,4,1,46.189,0.441,47.071,104.688,-201.549,17.819,17.232,0.293,58.746,-180.497
2,30,M,0,4,0,60.649,0.526,61.701,115.305,-206.517,14.922,14.566,0.178,81.846,-182.699
3,30,M,0,4,0,109.341,1.121,111.584,97.5,-212.193,17.98,17.596,0.192,91.689,-186.772
4,30,M,0,2,2,83.233,0.71,84.653,117.201,-210.998,18.263,17.856,0.203,87.918,-186.404
5,30,M,0,3,2,30.433,0.509,31.451,59.798,-188.393,19.181,18.927,0.127,149.191,-194.308
6,30,M,0,0,3,54.483,0.575,55.632,94.831,-202.441,22.864,22.435,0.214,104.744,-191.835
7,30,M,0,4,2,43.243,0.451,44.145,95.786,-199.466,23.621,23.106,0.257,89.757,-190.153
8,30,M,0,2,2,38.471,0.495,39.461,77.696,-195.073,21.562,20.874,0.344,60.65,-183.507
9,30,M,0,2,3,44.49,0.646,45.782,68.878,-195.409,24.688,24.21,0.239,101.32,-192.412
10,30,M,0,3,1,63.417,0.635,64.686,99.94,-205.192,18.504,18.267,0.118,154.263,-194.28
11,30,M,0,3,2,97.954,1.313,100.58,74.61,-207.11,28.403,27.892,0.256,109.023,-195.305
12,30,M,0,4,2,73.065,0.853,74.772,85.642,-205.02,NA,NA,NA,NA,NA
13,30,M,0,3,1,37.024,0.485,37.995,76.275,-194.309,25.84,25.18,0.33,76.326,-189.128
14,30,M,0,4,2,113.359,1.937,117.232,58.53,-205.809,18.821,18.134,0.343,52.833,-179.756
15,30,M,0,1,3,43.777,0.623,45.024,70.228,-195.453,19.874,19.597,0.138,141.623,-194.075
16,30,M,0,0,1,56.383,1.139,58.661,49.507,-194.152,19.505,19.13,0.187,102.26,-189.366
17,30,M,0,2,3,31.545,0.501,32.546,63.018,-189.582,20.264,19.771,0.246,80.27,-186.55
18,30,M,3,2,1,64.133,1.388,66.909,46.196,-194.954,16.393,15.562,0.416,37.418,-173.051
19,30,M,0,3,2,94.55,0.997,96.544,94.805,-209.859,16.567,16.249,0.159,102.083,-187.145
20,30,M,0,3,2,40.377,0.517,41.411,78.071,-195.789,31.045,30.422,0.312,97.651,-194.991
21,30,M,0,4,3,41.869,0.429,42.728,97.55,-199.277,13.999,13.703,0.148,92.41,-183.51
22,30,M,0,3,2,100.066,2.059,104.184,48.607,-201.629,24.133,23.858,0.137,173.825,-199.482
23,30,M,0,5,2,71.729,1.098,73.924,65.348,-201.131,20.975,20.741,0.117,177.9,-197.909
24,30,M,0,3,1,80.849,0.918,82.685,88.041,-206.755,17.379,17.061,0.159,107.116,-188.449
25,30,M,0,2,3,61.53,0.734,62.999,83.788,-202.412,24.646,23.496,0.575,40.878,-179.789
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,0,4,0,68.346,1.47,71.286,46.492,-195.897,13.423,13.118,0.152,86.157,-181.98
28,30,M,0,4,2,99.552,1.097,101.746,90.745,-209.964,15.493,15.122,0.186,81.491,-183.144
29,30,M,0,3,3,66.534,0.603,67.739,110.391,-207.177,17.719,17.249,0.235,73.508,-183.528
30,30,M,0,1,1,19.669,0.213,20.094,92.445,-188.381,19.045,18.438,0.303,60.755,-181.86
31,30,M,0,4,1,73.372,1.662,76.696,44.151,-196.157,23.36,22.394,0.483,46.34,-180.831
32,30,M,2,3,1,42.164,0.809,43.781,52.134,-190.936,28.683,27.742,0.471,58.956,-186.955
33,30,M,1,4,2,94.989,1.854,98.696,51.248,-201.64,21.74,20.97,0.385,54.465,-182.121
34,30,M,1,0,1,18.045,0.239,18.523,75.506,-184.496,NA,NA,NA,NA,NA
35,30,M,1,2,2,59.811,1.21,62.232,49.413,-194.921,26.465,25.193,0.636,39.605,-180.302
36,30,M,3,3,2,33.472,0.575,34.621,58.251,-189.321,24.299,23.283,0.508,45.834,-181.207
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,0,0,2,9.843,0.17,10.183,57.836,-172.747,49.074,47.712,0.681,70.068,-196.581
39,30,M,0,4,2,52.436,0.632,53.7,82.948,-200.123,37.664,34.708,1.478,23.484,-177.579
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,0,1,2,33.992,0.74,35.472,45.929,-186.329,32.566,31.808,0.379,83.945,-193.555
42,30,M,0,3,1,74.136,1.693,77.522,43.784,-196.184,30.414,29.673,0.37,80.091,-191.986
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,0,5,2,41.694,0.674,43.043,61.841,-193.084,39.317,37.463,0.927,40.433,-185.922
45,30,M,3,3,2,57.554,0.595,58.744,96.683,-203.44,41.707,40.729,0.489,83.327,-196.783
46,30,M,0,0,1,39.251,1.018,41.288,38.543,-185.906,30.439,28.945,0.747,38.763,-181.882
47,30,M,0,2,4,58.81,0.982,60.774,59.864,-197.277,22.989,22.389,0.3,74.727,-187.261
48,30,M,3,1,1,67.772,1.141,70.053,59.407,-199.083,32.243,30.58,0.832,36.765,-181.909
49,30,F,0,0,4,65.096,0.754,66.603,86.383,-203.581,20.457,19.867,0.295,67.405,-184.264
50,30,F,0,0,2,66.203,1.44,69.083,45.984,-195.32,40.331,37.152,1.589,23.374,-178.432
51,30,F,0,2,3,38.048,0.325,38.697,117.133,-200.451,34.781,32.556,1.113,29.262,-179.679
52,30,F,0,0,4,43.485,0.551,44.586,78.973,-196.942,28.16,26.125,1.017,25.682,-174.959
53,30,F,0,1,2,47.974,0.664,49.301,72.288,-197.074,15.547,14.804,0.372,39.817,-173.215
