Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,LiverGSH,LiverGSSG,LiverTotalGSH,LiverGSHGSSGRatio,Liver2GSHGSSGRatio,LiverEhGSSG2GSH,Steatosis,Ballooning,Fibrosis,KidneyGSH,KidneyGSSG,KidneyTotalGSH,KidneyGSHGSSGRatio,Kidney2GSHGSSGRatio,KidneyEhGSSG2GSH
1,30,M,NA,38.9,59,30,1.967,28,104,NA,NA,0.604,NA,1.788,46.189,0.441,47.071,104.688,209.376,-201.549,0,4,0,17.232,0.293,17.819,58.746,117.491,-180.497
2,30,M,NA,46.6,89,43,2.07,23,153,3.066,NA,0.609,NA,1.922,60.649,0.526,61.701,115.305,230.61,-206.517,0,4,0,14.566,0.178,14.922,81.846,163.692,-182.699
3,30,M,NA,39.9,197,NA,NA,26,120,NA,NA,0.642,NA,2.092,109.341,1.121,111.584,97.5,195,-212.193,0,4,0,17.596,0.192,17.980,91.689,183.378,-186.772
4,30,M,NA,40.8,58,28,2.071,20,94,NA,NA,0.647,NA,1.485,83.233,0.71,84.653,117.201,234.403,-210.998,0,2,0,17.856,0.203,18.263,87.918,175.837,-186.404
5,30,M,NA,45.2,39,23,1.696,21,98,NA,NA,0.766,NA,1.768,30.433,0.509,31.451,59.798,119.595,-188.393,0,3,0,18.927,0.127,19.181,149.191,298.382,-194.308
6,30,M,NA,35.7,60,29,2.069,29,87,3.516,NA,0.374,NA,1.56,54.483,0.575,55.632,94.831,189.661,-202.441,0,0,1,22.435,0.214,22.864,104.744,209.487,-191.835
7,30,M,NA,38,70,27,2.593,23,113,NA,NA,0.606,NA,1.844,43.243,0.451,44.145,95.786,191.572,-199.466,0,4,1,23.106,0.257,23.621,89.757,179.515,-190.153
8,30,M,NA,36,53,39,1.359,21,72,NA,NA,0.649,NA,1.47,38.471,0.495,39.461,77.696,155.393,-195.073,0,2,0,20.874,0.344,21.562,60.650,121.301,-183.507
9,30,M,NA,41.3,46,43,1.07,18,124,NA,NA,0.547,NA,1.999,44.49,0.646,45.782,68.878,137.755,-195.409,0,2,0,24.210,0.239,24.688,101.320,202.640,-192.412
10,30,M,NA,40,55,42,1.31,22,79,NA,0.451,0.159,2.835,2.437,63.417,0.635,64.686,99.94,199.881,-205.192,0,3,0,18.267,0.118,18.504,154.263,308.526,-194.280
11,30,M,NA,38.7,38,31,1.226,35,104,NA,NA,0.786,NA,1.949,97.954,1.313,100.58,74.61,149.22,-207.11,0,3,0,27.892,0.256,28.403,109.023,218.047,-195.305
12,30,M,NA,47,55,30,1.833,24,147,NA,NA,0.608,NA,1.872,73.065,0.853,74.772,85.642,171.284,-205.02,0,4,0,NA,NA,NA,NA,NA,NA
13,30,M,NA,32.8,34,20,1.7,23,111,NA,NA,0.396,NA,1.571,37.024,0.485,37.995,76.275,152.55,-194.309,0,3,0,25.180,0.330,25.840,76.326,152.653,-189.128
14,30,M,NA,48.4,97,28,3.464,20,107,NA,NA,0.501,NA,2.441,113.359,1.937,117.232,58.53,117.059,-205.809,0,4,1,18.134,0.343,18.821,52.833,105.666,-179.756
15,30,M,NA,31.6,34,15,2.267,26,93,4.564,NA,0.72,NA,1.36,43.777,0.623,45.024,70.228,140.456,-195.453,0,1,1,19.597,0.138,19.874,141.623,283.245,-194.075
16,30,M,NA,30.7,53,26,2.038,21,65,NA,0.552,0.436,1.267,1.255,56.383,1.139,58.661,49.507,99.013,-194.152,0,0,0,19.130,0.187,19.505,102.260,204.519,-189.366
17,30,M,NA,48.1,52,33,1.576,19,69,NA,NA,0.777,NA,1.703,31.545,0.501,32.546,63.018,126.037,-189.582,0,2,0,19.771,0.246,20.264,80.270,160.540,-186.550
18,30,M,NA,46.6,37,18,2.056,32,160,NA,NA,0.238,NA,2.16,64.133,1.388,66.909,46.196,92.391,-194.954,3,2,0,15.562,0.416,16.393,37.418,74.836,-173.051
19,30,M,NA,47.5,53,32,1.656,25,95,3.906,0.924,0.516,1.792,1.655,94.55,0.997,96.544,94.805,189.611,-209.859,0,3,0,16.249,0.159,16.567,102.083,204.166,-187.145
20,30,M,NA,35.2,56,28,2,20,125,2.838,0.575,0.424,1.356,1.508,40.377,0.517,41.411,78.071,156.141,-195.789,0,3,0,30.422,0.312,31.045,97.651,195.302,-194.991
21,30,M,NA,38.5,51,26,1.962,23,120,3.009,0.829,0.433,1.914,1.919,41.869,0.429,42.728,97.55,195.101,-199.277,0,4,0,13.703,0.148,13.999,92.410,184.820,-183.510
22,30,M,NA,51.9,132,52,2.538,34,104,3.531,0.334,0.67,0.499,2.091,100.066,2.059,104.184,48.607,97.215,-201.629,0,3,0,23.858,0.137,24.133,173.825,347.651,-199.482
23,30,M,NA,51.5,58,41,1.415,24,152,2.732,0.46,0.456,1.007,3.162,71.729,1.098,73.924,65.348,130.695,-201.131,0,5,0,20.741,0.117,20.975,177.900,355.800,-197.909
24,30,M,NA,38.3,100,40,2.5,26,132,2.523,0.463,0.223,2.082,1.773,80.849,0.918,82.685,88.041,176.081,-206.755,0,3,0,17.061,0.159,17.379,107.116,214.232,-188.449
25,30,M,NA,37.1,56,39,1.436,22,92,1.954,0.801,0.276,2.906,1.724,61.53,0.734,62.999,83.788,167.576,-202.412,0,2,0,23.496,0.575,24.646,40.878,81.755,-179.789
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,30,M,NA,51.1,67,30,2.233,26,185,2.307,0.724,0.334,2.167,2.565,68.346,1.47,71.286,46.492,92.984,-195.897,0,4,0,13.118,0.152,13.423,86.157,172.315,-181.980
28,30,M,NA,33.6,61,28,2.179,33,107,2.363,0.525,0.488,1.075,1.496,99.552,1.097,101.746,90.745,181.49,-209.964,0,4,0,15.122,0.186,15.493,81.491,162.982,-183.144
29,30,M,NA,32.1,51,39,1.308,19,115,2.866,0.636,0.263,2.42,1.487,66.534,0.603,67.739,110.391,220.783,-207.177,0,3,0,17.249,0.235,17.719,73.508,147.017,-183.528
30,30,M,NA,39,78,23,3.391,28,127,3.168,0.53,0.359,1.477,1.584,19.669,0.213,20.094,92.445,184.891,-188.381,0,1,0,18.438,0.303,19.045,60.755,121.511,-181.860
31,30,M,NA,47.1,38,21,1.81,23,132,2.25,0.641,0.403,1.59,2.023,73.372,1.662,76.696,44.151,88.302,-196.157,0,4,0,22.394,0.483,23.360,46.340,92.681,-180.831
32,30,M,NA,53.7,57,36,1.583,40,243,3.106,0.417,0.609,0.685,3.068,42.164,0.809,43.781,52.134,104.269,-190.936,2,3,0,27.742,0.471,28.683,58.956,117.913,-186.955
33,30,M,NA,45.7,49,43,1.14,27,63,3.333,0.399,0.469,0.851,2.204,94.989,1.854,98.696,51.248,102.495,-201.64,1,4,0,20.970,0.385,21.740,54.465,108.931,-182.121
34,30,M,NA,31.1,74,34,2.176,26,103,3.829,0.579,0.405,1.429,1.516,18.045,0.239,18.523,75.506,151.012,-184.496,1,0,0,NA,NA,NA,NA,NA,NA
35,30,M,NA,40.2,76,28,2.714,23,86,2.635,0.666,0.337,1.972,1.508,59.811,1.21,62.232,49.413,98.827,-194.921,1,2,0,25.193,0.636,26.465,39.605,79.210,-180.302
36,30,M,NA,52,50,36,1.389,24,122,2.433,0.421,0.527,0.798,2.91,33.472,0.575,34.621,58.251,116.502,-189.321,3,3,0,23.283,0.508,24.299,45.834,91.669,-181.207
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,M,NA,26.8,57,35,1.629,37,108,2.255,0.814,0.333,2.445,1.091,9.843,0.17,10.183,57.836,115.673,-172.747,0,0,0,47.712,0.681,49.074,70.068,140.136,-196.581
39,30,M,NA,46.3,35,21,1.667,24,216,1.409,0.502,0.295,1.701,2.422,52.436,0.632,53.7,82.948,165.895,-200.123,0,4,0,34.708,1.478,37.664,23.484,46.968,-177.579
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,30,M,NA,42.3,33,23,1.435,25,138,1.696,0.469,0.31,1.514,1.651,33.992,0.74,35.472,45.929,91.857,-186.329,0,1,0,31.808,0.379,32.566,83.945,167.890,-193.555
42,30,M,NA,38.7,51,23,2.217,28,100,1.61,0.507,0.288,1.76,1.627,74.136,1.693,77.522,43.784,87.569,-196.184,0,3,0,29.673,0.370,30.414,80.091,160.181,-191.986
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,30,M,NA,44.8,42,24,1.75,21,162,1.927,0.551,0.23,2.392,2.363,41.694,0.674,43.043,61.841,123.683,-193.084,0,5,0,37.463,0.927,39.317,40.433,80.866,-185.922
45,30,M,NA,48.6,34,19,1.789,26,142,0.653,0.401,0.271,1.484,3.111,57.554,0.595,58.744,96.683,193.366,-203.44,3,3,0,40.729,0.489,41.707,83.327,166.654,-196.783
46,30,M,NA,38.2,43,23,1.87,32,96,1.96,0.548,0.236,2.32,1.369,39.251,1.018,41.288,38.543,77.085,-185.906,0,0,0,28.945,0.747,30.439,38.763,77.527,-181.882
47,30,M,NA,35.1,96,31,3.097,35,83,1.407,0.435,0.401,1.087,1.665,58.81,0.982,60.774,59.864,119.729,-197.277,0,2,0,22.389,0.300,22.989,74.727,149.454,-187.261
48,30,M,NA,48.3,39,22,1.773,32,111,1.554,0.429,0.354,1.213,2.591,67.772,1.141,70.053,59.407,118.815,-199.083,3,1,0,30.580,0.832,32.243,36.765,73.529,-181.909
49,30,F,NA,22.9,50,18,2.778,29,78,1.581,0.794,0.151,5.245,1,65.096,0.754,66.603,86.383,172.765,-203.581,0,0,0,19.867,0.295,20.457,67.405,134.809,-184.264
50,30,F,NA,31.7,41,18,2.278,19,66,1.968,0.736,0.182,4.05,1.427,66.203,1.44,69.083,45.984,91.967,-195.32,0,0,0,37.152,1.589,40.331,23.374,46.747,-178.432
51,30,F,NA,41.5,49,19,2.579,17,111,2.011,0.782,0.121,6.444,1.096,38.048,0.325,38.697,117.133,234.267,-200.451,0,2,0,32.556,1.113,34.781,29.262,58.524,-179.679
52,30,F,NA,28.6,191,37,5.162,23,86,1.628,0.647,0.267,2.423,1.16,43.485,0.551,44.586,78.973,157.946,-196.942,0,0,0,26.125,1.017,28.160,25.682,51.364,-174.959
53,30,F,NA,39.8,42,31,1.355,18,66,0.953,0.717,0.107,6.71,1.521,47.974,0.664,49.301,72.288,144.576,-197.074,0,1,0,14.804,0.372,15.547,39.817,79.633,-173.215
54,30,F,NA,32.1,162,30,5.4,22,88,1.172,0.628,0.113,5.572,1.428,78.195,1.321,80.838,59.179,118.357,-200.958,0,1,0,35.462,1.612,38.686,22.005,44.010,-176.993
55,30,F,NA,44.4,60,34,1.765,24,94,1.551,0.621,0.104,5.993,1.869,58.039,1.022,60.082,56.816,113.631,-196.396,0,4,0,22.857,0.515,23.886,44.409,88.818,-180.533
56,30,F,NA,40.8,181,27,6.704,24,71,1.017,0.731,0.12,6.075,1.409,41.333,0.48,42.292,86.18,172.36,-197.435,0,1,0,19.802,0.534,20.870,37.079,74.158,-176.173
57,30,F,NA,44.1,58,29,2,25,86,0.986,0.694,0.35,1.984,1.524,54.147,0.597,55.34,90.721,181.443,-201.762,0,1,0,37.356,1.459,40.273,25.605,51.209,-179.733
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,30,F,NA,38.9,82,22,3.727,18,79,3.601,1.058,0.412,2.569,1.23,35.561,0.282,36.125,126.066,252.132,-200.531,0,4,0,43.863,0.986,45.835,44.479,88.959,-189.330
60,30,F,NA,28.7,40,20,2,21,80,4.405,1.057,0.721,1.467,1.262,52.215,0.586,53.386,89.18,178.36,-201.042,0,1,0,33.840,0.692,35.223,48.936,97.872,-187.123
61,30,F,NA,30.7,41,23,1.783,30,84,3.914,0.882,0.355,2.488,1.213,33.629,0.443,34.515,75.925,151.851,-192.952,0,3,0,27.418,1.065,29.548,25.744,51.487,-175.642
62,30,F,NA,36.2,151,23,6.565,19,91,2.932,0.647,0.378,1.713,1.269,38.041,0.382,38.805,99.569,199.138,-198.262,3,3,0,22.478,0.488,23.453,46.092,92.183,-180.809
63,30,F,NA,51.7,71,23,3.087,22,81,3.225,1.007,0.391,2.576,1.649,77.579,1.025,79.628,75.705,151.411,-204.167,1,3,0,27.883,0.361,28.605,77.141,154.282,-190.643
64,30,F,NA,18.5,NA,NA,NA,NA,78,3.062,0.891,0.324,2.75,0.662,22.147,0.272,22.691,81.455,162.911,-188.275,0,0,0,25.504,0.588,26.680,43.408,86.816,-181.702
65,30,F,NA,39,114,30,3.8,18,103,1.864,0.854,0.466,1.831,1.319,38.714,0.596,39.905,64.999,129.998,-192.756,0,2,0,22.398,0.279,22.955,80.368,160.736,-188.246
66,30,F,NA,31.7,42,22,1.909,26,99,2.842,0.723,0.687,1.053,1.048,55.925,0.56,57.045,99.901,199.802,-203.494,0,4,0,18.962,0.520,20.002,36.472,72.944,-175.367
67,30,F,NA,23.1,45,17,2.647,23,105,3.917,1.289,0.349,3.697,0.79,63.425,0.978,65.38,64.859,129.719,-199.373,0,0,0,23.619,0.337,24.293,70.102,140.203,-187.121
68,30,F,NA,33,45,24,1.875,19,90,2.693,0.967,0.305,3.172,1.599,41.32,0.781,42.881,52.912,105.823,-190.863,0,3,0,17.815,0.519,18.852,34.328,68.657,-173.711
69,30,F,NA,36,37,15,2.467,18,103,1.839,0.873,0.73,1.196,1.323,21.343,0.249,21.841,85.793,171.586,-188.476,1,3,0,18.715,0.337,19.388,55.559,111.118,-180.857
70,30,F,NA,28.8,40,19,2.105,24,74,2.45,0.75,0.296,2.529,1.189,55.792,0.574,56.941,97.179,194.358,-203.091,0,1,0,44.401,0.634,45.670,70.011,140.021,-195.601
71,30,F,NA,27.2,47,23,2.043,23,100,3.322,0.808,0.405,1.993,0.884,35.096,0.481,36.058,72.977,145.953,-192.994,0,2,0,39.774,0.403,40.579,98.810,197.619,-198.758
72,30,F,NA,30.3,45,20,2.25,23,103,1.171,0.746,0.513,1.454,1.181,67.491,0.795,69.081,84.89,169.781,-203.833,0,3,0,13.583,0.250,14.084,54.311,108.623,-176.237
73,30,F,NA,27.4,83,30,2.767,16,81,1.401,1.031,0.348,2.964,1.097,57.641,1.291,60.222,44.661,89.321,-193.062,0,3,0,16.418,0.271,16.961,60.475,120.949,-180.235
74,30,F,NA,28.8,145,29,5,27,102,2.89,1.216,0.249,4.877,1.147,53.704,0.605,54.914,88.751,177.502,-201.355,0,4,0,25.238,0.175,25.587,144.339,288.678,-197.736
75,30,F,NA,44.9,85,21,4.048,20,95,2.856,1.064,0.21,5.067,1.423,56.075,0.879,57.833,63.797,127.594,-197.492,0,1,0,14.911,0.142,15.196,104.848,209.695,-186.348
